Date,Close,High,Low,Open,Volume
1/22/2021,13.67652798,13.80543944,13.59150171,13.70395599,246820000
1/25/2021,13.61743355,13.79222387,13.20177684,13.74559644,251112000
1/26/2021,13.40000725,13.60895705,13.35238203,13.5448756,163980000
1/27/2021,12.88386345,13.1980367,12.76018819,13.19529351,371272000
1/28/2021,13.01676369,13.30475687,12.92650121,12.96215782,228316000
1/29/2021,12.95567513,13.29977039,12.87763046,13.0407014,271552000
2/1/2021,13.20227528,13.23593632,12.86890168,13.01900716,217204000
2/2/2021,13.52118492,13.53639417,13.25064581,13.36359943,220440000
2/3/2021,13.49500561,13.89520289,13.48104239,13.60022812,245408000
2/4/2021,13.62840652,13.63763195,13.30276306,13.49550583,201340000
2/5/2021,13.55534554,13.70121259,13.5102143,13.68899478,169152000
2/8/2021,14.40087318,14.43578122,13.69123949,13.69123949,434624000
2/9/2021,14.22583294,14.54499316,14.18518934,14.30312902,287560000
2/10/2021,14.72551918,14.86589989,14.30387865,14.42530914,485352000
2/11/2021,15.21074295,15.23218714,14.88584808,14.94095331,450828000
2/12/2021,14.92200089,15.25113509,14.73623881,15.01051794,374756000
2/16/2021,15.29003429,15.33217409,14.91078182,15.02473229,321960000
2/17/2021,14.86689568,15.18356286,14.74122582,15.13119986,274756000
2/18/2021,14.7901001,14.83423355,14.53676574,14.69036204,233868000
2/19/2021,14.88734341,15.13718599,14.80780256,14.9850859,271724000
2/22/2021,14.31809044,15.09355096,14.28742083,14.73599094,325884000
2/23/2021,14.10490131,14.20139777,13.35437482,14.03832589,391780000
2/24/2021,14.4609642,14.46869438,13.71991329,14.08570191,448320000
2/25/2021,13.27259064,14.3370412,13.18158054,14.00865458,824436000
2/26/2021,13.67852402,13.81815616,13.32595097,13.71642349,500932000
3/1/2021,13.80543995,13.88847161,13.51769692,13.83860258,353184000
3/2/2021,13.3710804,13.88398113,13.3608572,13.86353473,264116000
3/3/2021,12.77116013,13.41621302,12.76517535,13.39102978,377592000
3/4/2021,12.33779907,12.94096327,12.05205067,12.76716978,573344000
3/5/2021,12.42880917,12.51707702,11.64861089,12.51707702,542840000
3/8/2021,11.5628376,12.43853364,11.53615721,12.41733962,543112000
3/9/2021,12.49171543,12.58799494,12.03176565,12.10260394,521824000
3/10/2021,12.43983459,12.95041756,12.42910928,12.81123583,384376000
3/11/2021,12.96388626,13.01651662,12.70547672,12.92048546,299916000
3/12/2021,12.82670212,12.85937761,12.56130852,12.61942524,243964000
3/15/2021,13.16118717,13.17665192,12.73815368,12.83543132,221988000
3/16/2021,13.26095867,13.48170401,13.0868559,13.32605941,272128000
3/17/2021,13.31084347,13.42258771,12.95989479,13.01003032,243864000
3/18/2021,12.69350338,13.15395172,12.68801607,13.10656032,293896000
3/19/2021,12.81647396,12.89205167,12.58375588,12.72094232,299208000
3/22/2021,13.15619946,13.36397492,12.8773364,12.88332325,297804000
3/23/2021,13.04095936,13.31408478,12.99157171,13.22404046,222048000
3/24/2021,12.61418629,13.12926036,12.6079511,13.12127822,245840000
3/25/2021,12.50668335,12.68577487,12.24403387,12.47101538,295144000
3/26/2021,12.80998993,12.82695139,12.3453016,12.52588887,363968000
3/29/2021,12.91873932,13.03272911,12.6710551,12.79103079,273520000
3/30/2021,12.84241581,12.9456803,12.67604587,12.81273374,200204000
3/31/2021,13.31783009,13.43980109,12.95291331,12.98583809,314776000
4/1/2021,13.78027439,13.83839112,13.48045834,13.54132015,308276000
4/5/2021,13.95562077,13.98206012,13.70170042,13.83589438,255672000
4/6/2021,13.82990646,14.02221712,13.74210769,13.96784171,191744000
4/7/2021,14.11126804,14.21103958,13.68025239,13.84911621,251284000
4/8/2021,14.28437042,14.43851831,14.21652461,14.22026686,244416000
4/9/2021,14.36718178,14.37516392,14.14269513,14.1816058,195172000
4/12/2021,15.17433834,15.31751163,14.10702647,14.25718377,869324000
4/13/2021,15.64376545,15.66421891,15.09127743,15.1967865,676212000
4/14/2021,15.24218464,15.68467348,15.19279698,15.58939113,385500000
4/15/2021,16.10046959,16.17729375,15.59587168,15.62680116,598480000
4/16/2021,15.87623596,16.12890893,15.8290929,16.01641488,335208000
4/19/2021,15.32674122,15.77147562,15.19828478,15.5010933,404420000
4/20/2021,15.13667488,15.46168189,14.92889944,15.28832795,334132000
4/21/2021,15.32549477,15.32749006,15.06783307,15.08429498,216776000
4/22/2021,14.8164072,15.40331677,14.7498088,15.33996108,277788000
4/23/2021,15.23045921,15.30005008,14.86629131,14.90021327,227500000
4/26/2021,15.44272614,15.44372426,15.09053092,15.1503946,197796000
4/27/2021,15.34669495,15.63478658,15.31950676,15.54299624,164572000
4/28/2021,15.24193478,15.4968533,15.18082463,15.32948523,209416000
4/29/2021,15.28982544,15.40132042,15.03715246,15.36490362,173196000
4/30/2021,14.97529221,15.32998223,14.96282088,15.13991708,201912000
5/3/2021,14.8029356,15.21200102,14.7537982,15.09052862,203912000
5/4/2021,14.31854439,14.60414216,13.97832189,14.60389287,405324000
5/5/2021,14.4255476,14.77973902,14.35470932,14.67547641,292024000
5/6/2021,14.48990059,14.53804082,14.18559636,14.46221382,193380000
5/7/2021,14.77849293,14.93663142,14.63831306,14.77450233,229328000
5/10/2021,14.23323727,14.77225582,14.21752323,14.75354837,268904000
5/11/2021,14.27364635,14.32203589,13.7186644,13.79349329,285584000
5/12/2021,13.72714329,14.22774975,13.67800588,13.97757069,303408000
5/13/2021,13.63410664,14.04866035,13.42832649,14.00176658,285404000
5/14/2021,14.21054077,14.2953471,13.71716756,13.85834556,258616000
5/17/2021,14.133214,14.1369553,13.82192578,14.12473327,216980000
5/18/2021,13.98380756,14.37142237,13.97208412,14.23448522,186256000
5/19/2021,14.03369236,14.0474111,13.51238317,13.53557981,344000000
5/20/2021,14.57919693,14.65028451,14.23797637,14.26990303,321592000
5/21/2021,14.95758343,15.18730904,14.83561243,15.12919137,672992000
5/24/2021,15.57641983,15.70911614,15.14141268,15.17782947,554816000
5/25/2021,15.6120882,15.78244872,15.44721499,15.7300686,435408000
5/26/2021,15.66421986,15.7577562,15.55072958,15.69839206,370440000
5/27/2021,15.45270348,15.71410647,15.42476741,15.66397094,581476000
5/28/2021,16.20747757,16.24040331,15.46567322,15.46567322,644536000
6/1/2021,16.22743034,16.35089898,15.86700376,16.2329186,472804000
6/2/2021,16.74001122,16.88019203,16.19849877,16.21521093,594168000
6/3/2021,16.93107605,17.21966818,16.54520817,16.66268999,580008000
6/4/2021,17.53819275,17.62075259,17.05654292,17.07350248,617120000
6/7/2021,17.57884407,17.77190358,17.15356698,17.53120433,575756000
6/8/2021,17.41721725,17.58134165,17.21168544,17.48730672,323848000
6/9/2021,17.32266045,17.53896715,17.22037159,17.47983875,381656000
6/10/2021,17.38927078,17.45613474,17.14078269,17.31442571,287772000
6/11/2021,17.78870392,17.90247051,17.40798586,17.44366199,416308000
6/14/2021,17.98180199,18.00250948,17.62653297,17.86928408,321376000
6/15/2021,17.75202751,17.97931133,17.69165236,17.87826923,243032000
6/16/2021,17.77373123,17.91793568,17.54844414,17.75427239,307124000
6/17/2021,18.61899376,18.79637893,17.71984214,17.73805423,809656000
6/18/2021,18.60053825,19.33527877,18.54590006,18.74549079,968856000
6/21/2021,18.38946152,18.4984885,17.78620134,18.39744453,672384000
6/22/2021,18.84802818,18.92487189,18.34830522,18.43363064,580144000
6/23/2021,19.01817322,19.11347834,18.86897987,18.9687752,332356000
6/24/2021,19.16611671,19.38017729,19.04910671,19.18832222,320924000
6/25/2021,18.99197769,19.30583363,18.85575817,19.24096637,278364000
6/28/2021,19.94402504,20.03758282,19.27939018,19.32155324,495436000
6/29/2021,19.98568916,20.05754014,19.6166963,19.84173406,367632000
6/30/2021,19.96148682,20.1211586,19.82302124,19.95824336,326568000
7/1/2021,20.17056084,20.41406007,19.97795574,20.08373931,480136000
7/2/2021,20.44499397,20.46320797,20.24615324,20.39834071,342764000
